brick/math                         0.18.0          Arbitrary-precision arithmetic library
carbonphp/carbon-doctrine-types    3.2.0           Types to use Carbon in Doctrine
composer/pcre                      3.4.0           PCRE wrapping library that offers type-safe preg_* replacements.
composer/semver                    3.4.4           Semver library that offers utilities, version constraint parsin...
dflydev/dot-access-data            3.0.3           Given a deep data structure, access data by dot notation.
doctrine/inflector                 2.1.0           PHP Doctrine Inflector is a small library that can perform stri...
doctrine/lexer                     3.0.1           PHP Doctrine Lexer parser library that can be used in Top-Down,...
dragonmantank/cron-expression      3.6.0           CRON for PHP: Calculate the next or previous run date and deter...
egulias/email-validator            4.0.4           A library for validating emails against several RFCs
fakerphp/faker                     1.24.1          Faker is a PHP library that generates fake data for you.
filp/whoops                        2.18.4          php error handling for cool kids
fruitcake/php-cors                 1.4.0           Cross-origin resource sharing library for the Symfony HttpFound...
graham-campbell/result-type        1.1.4           An Implementation Of The Result Type
guzzlehttp/guzzle                  7.12.3          Guzzle is a PHP HTTP client library
guzzlehttp/promises                2.5.0           Guzzle promises library
guzzlehttp/psr7                    2.12.3          PSR-7 message implementation that also provides common utility ...
guzzlehttp/uri-template            1.0.8           A polyfill class for uri_template of PHP
hamcrest/hamcrest-php              2.1.1           This is the PHP port of Hamcrest Matchers
laravel/agent-detector             2.0.2           Detect if code is running in an AI agent or automated developme...
laravel/framework                  13.17.0         The Laravel Framework.
laravel/pail                       1.2.7           Easily delve into your Laravel application's log files directly...
laravel/pao                        1.1.2           Agent-optimized output for PHP testing tools
laravel/pint                       1.29.3          An opinionated code formatter for PHP.
laravel/prompts                    0.3.20          Add beautiful and user-friendly forms to your command-line appl...
laravel/serializable-closure       2.0.13          Laravel Serializable Closure provides an easy and secure way to...
laravel/tinker                     3.0.2           Powerful REPL for the Laravel framework.
league/commonmark                  2.8.2           Highly-extensible PHP Markdown parser which fully supports the ...
league/config                      1.2.0           Define configuration arrays with strict schemas and access valu...
league/flysystem                   3.35.1          File storage abstraction for PHP
league/flysystem-local             3.31.0          Local filesystem adapter for Flysystem.
league/mime-type-detection         1.16.0          Mime-type detection for Flysystem
league/uri                         7.8.1           URI manipulation library
league/uri-interfaces              7.8.1           Common tools for parsing and resolving RFC3987/RFC3986 URI
maatwebsite/excel                  4.x-dev a31cc13 Supercharged Excel exports and imports in Laravel
maennchen/zipstream-php            3.2.2           ZipStream is a library for dynamically streaming dynamic zip fi...
markbaker/complex                  3.0.2           PHP Class for working with complex numbers
markbaker/matrix                   3.0.1           PHP Class for working with matrices
mockery/mockery                    1.6.12          Mockery is a simple yet flexible PHP mock object framework
monolog/monolog                    3.10.0          Sends your logs to files, sockets, inboxes, databases and vario...
myclabs/deep-copy                  1.13.4          Create deep copies (clones) of your objects
nesbot/carbon                      3.13.0          An API extension for DateTime that supports 281 different langu...
nette/schema                       1.3.5           📐 Nette Schema: validating data structures against a given Sch...
nette/utils                        4.1.4           🛠  Nette Utils: lightweight utilities for string & array manipu...
nikic/php-parser                   5.7.0           A PHP parser written in PHP
nunomaduro/collision               8.9.4           Cli error handling for console/command-line PHP applications.
nunomaduro/termwind                2.4.0           It's like Tailwind CSS, but for the console.
phar-io/manifest                   2.0.4           Component for reading phar.io manifest information from a PHP A...
phar-io/version                    3.2.1           Library for handling version information and constraints
phpoffice/phpspreadsheet           5.8.0           PHPSpreadsheet - Read, Create and Write Spreadsheet documents i...
phpoption/phpoption                1.9.5           Option Type for PHP
phpunit/php-code-coverage          12.5.7          Library that provides collection, processing, and rendering fun...
phpunit/php-file-iterator          6.0.1           FilterIterator implementation that filters files based on a lis...
phpunit/php-invoker                6.0.0           Invoke callables with a timeout
phpunit/php-text-template          5.0.0           Simple template engine.
phpunit/php-timer                  8.0.0           Utility class for timing
phpunit/phpunit                    12.5.30         The PHP Unit Testing framework.
psr/clock                          1.0.0           Common interface for reading the clock.
psr/container                      2.0.2           Common Container Interface (PHP FIG PSR-11)
psr/event-dispatcher               1.0.0           Standard interfaces for event handling.
psr/http-client                    1.0.3           Common interface for HTTP clients
psr/http-factory                   1.1.0           PSR-17: Common interfaces for PSR-7 HTTP message factories
psr/http-message                   2.0             Common interface for HTTP messages
psr/log                            3.0.2           Common interface for logging libraries
psr/simple-cache                   3.0.0           Common interfaces for simple caching
psy/psysh                          0.12.23         An interactive shell for modern PHP.
ralouphie/getallheaders            3.0.3           A polyfill for getallheaders.
ramsey/collection                  2.1.1           A PHP library for representing and manipulating collections.
ramsey/uuid                        4.9.3           A PHP library for generating and working with universally uniqu...
sebastian/cli-parser               4.2.1           Library for parsing CLI options
sebastian/comparator               7.1.8           Provides the functionality to compare PHP values for equality
sebastian/complexity               5.0.0           Library for calculating the complexity of PHP code units
sebastian/diff                     7.0.0           Diff implementation
sebastian/environment              8.1.2           Provides functionality to handle HHVM/PHP environments
sebastian/exporter                 7.0.3           Provides the functionality to export PHP variables for visualiz...
sebastian/global-state             8.0.3           Snapshotting of global state
sebastian/lines-of-code            4.0.1           Library for counting the lines of code in PHP source code
sebastian/object-enumerator        7.0.0           Traverses array structures and object graphs to enumerate all r...
sebastian/object-reflector         5.0.0           Allows reflection of object attributes, including inherited and...
sebastian/recursion-context        7.0.1           Provides functionality to recursively process PHP variables
sebastian/type                     6.0.4           Collection of value objects that represent the types of the PHP...
sebastian/version                  6.0.0           Library that helps with managing the version number of Git-host...
staabm/side-effects-detector       1.0.5           A static analysis tool to detect side effects in PHP code
symfony/clock                      8.1.0           Decouples applications from the system clock
symfony/console                    8.1.0           Eases the creation of beautiful and testable command line inter...
symfony/css-selector               8.1.0           Converts CSS selectors to XPath expressions
symfony/deprecation-contracts      3.7.0           A generic function and convention to trigger deprecation notices
symfony/error-handler              8.1.0           Provides tools to manage errors and ease debugging PHP code
symfony/event-dispatcher           8.1.0           Provides tools that allow your application components to commun...
symfony/event-dispatcher-contracts 3.7.0           Generic abstractions related to dispatching event
symfony/finder                     8.1.0           Finds files and directories via an intuitive fluent interface
symfony/http-foundation            8.1.0           Defines an object-oriented layer for the HTTP specification
symfony/http-kernel                8.1.0           Provides a structured process for converting a Request into a R...
symfony/mailer                     8.1.0           Helps sending emails
symfony/mime                       8.1.0           Allows manipulating MIME messages
symfony/polyfill-ctype             1.37.0          Symfony polyfill for ctype functions
symfony/polyfill-intl-grapheme     1.38.1          Symfony polyfill for intl's grapheme_* functions
symfony/polyfill-intl-idn          1.38.1          Symfony polyfill for intl's idn_to_ascii and idn_to_utf8 functions
symfony/polyfill-intl-normalizer   1.38.0          Symfony polyfill for intl's Normalizer class and related functions
symfony/polyfill-mbstring          1.38.2          Symfony polyfill for the Mbstring extension
symfony/polyfill-php80             1.37.0          Symfony polyfill backporting some PHP 8.0+ features to lower PH...
symfony/polyfill-php84             1.38.1          Symfony polyfill backporting some PHP 8.4+ features to lower PH...
symfony/polyfill-php85             1.38.1          Symfony polyfill backporting some PHP 8.5+ features to lower PH...
symfony/polyfill-php86             1.38.0          Symfony polyfill backporting some PHP 8.6+ features to lower PH...
symfony/polyfill-uuid              1.37.0          Symfony polyfill for uuid functions
symfony/process                    8.1.0           Executes commands in sub-processes
symfony/routing                    8.1.0           Maps an HTTP request to a set of configuration variables
symfony/service-contracts          3.7.0           Generic abstractions related to writing services
symfony/string                     8.1.0           Provides an object-oriented API to strings and deals with bytes...
symfony/translation                8.1.0           Provides tools to internationalize your application
symfony/translation-contracts      3.7.0           Generic abstractions related to translation
symfony/uid                        8.1.0           Provides an object-oriented API to generate and represent UIDs
symfony/var-dumper                 8.1.0           Provides mechanisms for walking through any arbitrary PHP variable
theseer/tokenizer                  2.0.1           A small library for converting tokenized PHP source code into X...
tijsverkoyen/css-to-inline-styles  2.4.0           CssToInlineStyles is a class that enables you to convert HTML-p...
vlucas/phpdotenv                   5.6.3           Loads environment variables from `.env` to `getenv()`, `$_ENV` ...
